,Country,Year,Scenario,tech,Aluminium,Bentonite,Carbon Fiber,Cast Iron,Cement,Ceramics,Concrete,Copper,Epoxy,EVA ,Fibre Glass,Glass,Lubricant,Non-Ferrous Metal,Paint,Plastic,PVC,Resin,Sand,Silicon,Steel,Stainless Steel
0,Uganda,2010,Baseline,Wind (Onshore),1530643.339478137,0.0,3412050.8382508564,12109690.970948396,0.0,0.0,9607405.054693641,1998778.2931182228,4956211.420461226,0.0,5046160.4671396585,0.0,33537944.86850408,0.0,139304.57128694636,566754.2518655702,0.0,1962802.2851337208,0.0,0.0,68873541.4333985,0.0
1,Uganda,2010,Baseline,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Uganda,2010,Baseline,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Uganda,2010,Baseline,Hydro,0.0,0.0,0.0,197825540.0884242,225987765.93942818,0.0,158153222.00771582,68553941.46855639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925928789.5423627,0.0,67617619.79401377,0.0,479616236.89615667,0.0
4,Uganda,2010,Baseline,Geothermal,161283592.0031801,972173.0109355203,0.0,783732.950020603,16238487.371820595,0.0,2031496.7742741948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94792886.91637936,0.0
5,Uganda,2010,Baseline,Gas CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Uganda,2010,Baseline,Oil,1011438.3091960968,0.0,0.0,302364.5834641813,0.0,0.0,2455547.9139292343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24544771.88367421,0.0
7,Uganda,2010,Baseline,Gas,1435186.793086065,0.0,0.0,162671588.52216542,0.0,0.0,5044026.922446691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162176529.238492,0.0
8,Uganda,2010,Baseline,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Uganda,2010,Baseline,Wind (Offshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Uganda,2010,Baseline,Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Uganda,2010,Baseline,Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Uganda,2010,Baseline,BECCS,,,,,,,0.0,,,,,,,,,,,,,,0.0,
13,Uganda,2010,Baseline,Hydrogen,,,,,,,,,,,,,,,,,,,,,,
14,Uganda,2010,Baseline,Coal CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
